,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'BIBB'}),frozenset({'INDIVIDUAL'}),0.013577732518669382,0.4453496266123557,0.010183299389002037,0.75,1.6840701219512195,1.0,0.0041364612815701874,2.218601493550577,0.4117916953429686,0.0226928895612708,0.549265605875153,0.3864329268292683
1,frozenset({'CHEROKEE'}),frozenset({'INDIVIDUAL'}),0.012219959266802444,0.4453496266123557,0.010862186014935505,0.8888888888888888,1.9959349593495934,1.0,0.005420031718246841,4.991853360488796,0.5051546391752577,0.024316109422492398,0.7996736026111791,0.45663956639566394
2,frozenset({'CLAYTON'}),frozenset({'INDIVIDUAL'}),0.015614392396469789,0.4453496266123557,0.01493550577053632,0.9565217391304348,2.1477995758218453,1.0,0.007981641946989693,12.756958587915825,0.542884012539185,0.03348554033485541,0.921611409717418,0.49502916224814425
3,frozenset({'CLAYTON'}),frozenset({'Social Security Administration'}),0.015614392396469789,0.36591989137813985,0.012898845892735914,0.8260869565217392,2.257562313462935,1.0,0.007185229123084036,3.6459606245756984,0.565880217785844,0.03499079189686925,0.7257238618378179,0.43066871017181585
4,frozenset({'COLUMBIA'}),frozenset({'INDIVIDUAL'}),0.015614392396469789,0.4453496266123557,0.014256619144602852,0.9130434782608696,2.050172322375398,1.0,0.007302755321056225,6.378479293957913,0.5203612479474549,0.03191489361702128,0.843222819434836,0.4725278366914104
5,frozenset({'General Services Administration'}),frozenset({'CORPORATE NOT TAX EXEMPT'}),0.014256619144602852,0.17922606924643583,0.010862186014935505,0.7619047619047619,4.251082251082251,1.0,0.008307028204904851,3.4472505091649692,0.7758264462809917,0.05947955390334572,0.7099137421718067,0.4112554112554112
6,frozenset({'CORPORATE TAX EXEMPT'}),frozenset({'Department of Defense'}),0.04412763068567549,0.18058384249830278,0.03394433129667346,0.7692307692307693,4.259687680740313,1.0,0.02597559418710816,3.550803349174022,0.8005681818181818,0.17793594306049823,0.718373589956026,0.4786003470213997
7,frozenset({'DOUGLAS'}),frozenset({'INDIVIDUAL'}),0.010183299389002037,0.4453496266123557,0.010183299389002037,1.0,2.245426829268293,1.0,0.00564817080842815,inf,0.5603566529492456,0.02286585365853659,1.0,0.5114329268292683
8,frozenset({'Department of Agriculture'}),frozenset({'FULTON'}),0.015614392396469789,0.2545824847250509,0.012219959266802444,0.782608695652174,3.0740869565217395,1.0,0.008244808453037222,3.4289205702647667,0.6854022988505747,0.04736842105263159,0.7083630315989545,0.415304347826087
9,frozenset({'Department of Agriculture'}),frozenset({'STATE GOVERNMENT'}),0.015614392396469789,0.13713509843856075,0.012219959266802444,0.782608695652174,5.706844597503229,1.0,0.010078678028454245,3.9691785471826213,0.8378544061302682,0.08695652173913045,0.7480587007833613,0.4358588032716315
10,frozenset({'PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION'}),frozenset({'Department of Education'}),0.021045485403937542,0.04684317718940937,0.016293279022403257,0.7741935483870968,16.5273492286115,1.0,0.015307441620589482,4.221123072446901,0.9596914008321775,0.31578947368421045,0.7630962227736421,0.5610098176718092
11,frozenset({'NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION)'}),frozenset({'Department of Health and Human Services'}),0.0373387644263408,0.16836388323150034,0.02987101154107264,0.8,4.751612903225807,1.0,0.0235845121671877,4.1581805838424994,0.8201692524682651,0.16988416988416988,0.7595102040816327,0.4887096774193549
12,frozenset({'Department of Transportation'}),frozenset({'FULTON'}),0.041412084181941616,0.2545824847250509,0.03937542430414121,0.9508196721311476,3.734819672131148,1.0,0.02883263301545954,15.15682281059065,0.7638834619517438,0.15343915343915346,0.9340231120666487,0.5527431693989071
13,frozenset({'Department of Transportation'}),frozenset({'STATE GOVERNMENT'}),0.041412084181941616,0.13713509843856075,0.03326544467073999,0.8032786885245903,5.857571822756047,1.0,0.02758639442990346,4.386229916270652,0.86510666589582,0.22897196261682248,0.7720137751351074,0.5229264729751665
14,frozenset({'Department of Veterans Affairs'}),frozenset({'INDIVIDUAL'}),0.0835030549898167,0.4453496266123557,0.07942973523421588,0.951219512195122,2.135893813206425,1.0,0.04224168087351001,11.370332654446722,0.5802659069325736,0.17673716012084595,0.9120518255366156,0.5647865853658537
15,frozenset({'FAYETTE'}),frozenset({'INDIVIDUAL'}),0.010183299389002037,0.4453496266123557,0.010183299389002037,1.0,2.245426829268293,1.0,0.00564817080842815,inf,0.5603566529492456,0.02286585365853659,1.0,0.5114329268292683
16,frozenset({'STATE GOVERNMENT'}),frozenset({'FULTON'}),0.13713509843856075,0.2545824847250509,0.12763068567549218,0.9306930693069306,3.6557623762376235,1.0,0.09271849157198894,10.755309863252828,0.8419153958183371,0.4832904884318766,0.9070226694800627,0.7160132013201319
17,frozenset({'GWINNETT'}),frozenset({'INDIVIDUAL'}),0.03801765105227427,0.4453496266123557,0.027155465037338764,0.7142857142857143,1.603876306620209,1.0,0.010224318336529585,1.941276306856755,0.3913902611150317,0.05952380952380953,0.4848749781430321,0.3876306620209059
18,frozenset({'HALL'}),frozenset({'INDIVIDUAL'}),0.013577732518669382,0.4453496266123557,0.012898845892735914,0.9500000000000001,2.133155487804878,1.0,0.006852007785304064,11.0930074677529,0.538522838410548,0.028919330289193305,0.9098531211750309,0.4894817073170732
19,frozenset({'HALL'}),frozenset({'Social Security Administration'}),0.013577732518669382,0.36591989137813985,0.012898845892735914,0.9500000000000001,2.596196660482375,1.0,0.007930483484342978,12.68160217243722,0.6232839497228965,0.03518518518518519,0.9211456102783727,0.4926252319109462
20,frozenset({'HENRY'}),frozenset({'INDIVIDUAL'}),0.02240325865580448,0.4453496266123557,0.02240325865580448,1.0,2.245426829268293,1.0,0.012425975778541928,inf,0.5673611111111111,0.050304878048780484,1.0,0.5251524390243902
