,support,itemsets
0,0.013577732518669382,frozenset({'BIBB'})
1,0.03326544467073999,frozenset({'CHATHAM'})
2,0.012219959266802444,frozenset({'CHEROKEE'})
3,0.013577732518669382,frozenset({'CLARKE'})
4,0.015614392396469789,frozenset({'CLAYTON'})
5,0.09097080787508487,frozenset({'COBB'})
6,0.015614392396469789,frozenset({'COLUMBIA'})
7,0.17922606924643583,frozenset({'CORPORATE NOT TAX EXEMPT'})
8,0.04412763068567549,frozenset({'CORPORATE TAX EXEMPT'})
9,0.010183299389002037,frozenset({'COWETA'})
10,0.12287847929395791,frozenset({'DEKALB'})
11,0.01493550577053632,frozenset({'DOUGHERTY'})
12,0.010183299389002037,frozenset({'DOUGLAS'})
13,0.015614392396469789,frozenset({'Department of Agriculture'})
14,0.18058384249830278,frozenset({'Department of Defense'})
15,0.04684317718940937,frozenset({'Department of Education'})
16,0.16836388323150034,frozenset({'Department of Health and Human Services'})
17,0.02308214528173795,frozenset({'Department of Homeland Security'})
18,0.012898845892735914,frozenset({'Department of Housing and Urban Development'})
19,0.010183299389002037,frozenset({'Department of Labor'})
20,0.041412084181941616,frozenset({'Department of Transportation'})
21,0.0835030549898167,frozenset({'Department of Veterans Affairs'})
22,0.010183299389002037,frozenset({'FAYETTE'})
23,0.010862186014935505,frozenset({'FORSYTH'})
24,0.2545824847250509,frozenset({'FULTON'})
25,0.01697216564833673,frozenset({'GLYNN'})
26,0.03801765105227427,frozenset({'GWINNETT'})
27,0.014256619144602852,frozenset({'General Services Administration'})
28,0.013577732518669382,frozenset({'HALL'})
29,0.02240325865580448,frozenset({'HENRY'})
30,0.038696537678207736,frozenset({'HOUSTON'})
31,0.4453496266123557,frozenset({'INDIVIDUAL'})
32,0.014256619144602852,frozenset({'LOWNDES'})
33,0.027155465037338764,frozenset({'MUSCOGEE'})
34,0.0373387644263408,frozenset({'NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION)'})
35,0.05431093007467753,frozenset({'OTHER'})
36,0.02172437202987101,frozenset({'PARTNERSHIP'})
37,0.02240325865580448,frozenset({'PRIVATE INSTITUTION OF HIGHER EDUCATION'})
38,0.021045485403937542,frozenset({'PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION'})
39,0.03394433129667346,frozenset({'RICHMOND'})
40,0.13713509843856075,frozenset({'STATE GOVERNMENT'})
41,0.36591989137813985,frozenset({'Social Security Administration'})
42,0.010183299389002037,"frozenset({'BIBB', 'INDIVIDUAL'})"
43,0.014256619144602852,"frozenset({'CHATHAM', 'INDIVIDUAL'})"
44,0.010862186014935505,"frozenset({'CHEROKEE', 'INDIVIDUAL'})"
45,0.01493550577053632,"frozenset({'INDIVIDUAL', 'CLAYTON'})"
46,0.012898845892735914,"frozenset({'Social Security Administration', 'CLAYTON'})"
47,0.051595383570943655,"frozenset({'COBB', 'CORPORATE NOT TAX EXEMPT'})"
48,0.05091649694501019,"frozenset({'COBB', 'Department of Defense'})"
49,0.03394433129667346,"frozenset({'COBB', 'INDIVIDUAL'})"
50,0.027834351663272233,"frozenset({'COBB', 'Social Security Administration'})"
51,0.014256619144602852,"frozenset({'COLUMBIA', 'INDIVIDUAL'})"
52,0.031907671418873046,"frozenset({'DEKALB', 'CORPORATE NOT TAX EXEMPT'})"
53,0.11676849966055669,"frozenset({'CORPORATE NOT TAX EXEMPT', 'Department of Defense'})"
