,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,"frozenset({'4K GLOBAL-ACC JV, LLC'})",frozenset({'Department of Defense'}),0.0027155465037338763,0.18058384249830278,0.0027155465037338763,1.0,5.537593984962406,1.0,0.002225162681606781,inf,0.821647379169503,0.015037593984962405,1.0,0.5075187969924813
1,frozenset({'ABACUS SOLUTIONS GROUP LLC'}),frozenset({'Department of Homeland Security'}),0.0006788866259334691,0.02308214528173795,0.0006788866259334691,1.0,43.3235294117647,1.0,0.0006632164662038439,inf,0.9775815217391304,0.02941176470588235,1.0,0.5147058823529411
2,frozenset({'ACC CONSTRUCTION CO INC'}),frozenset({'Department of Defense'}),0.004073319755600814,0.18058384249830278,0.004073319755600814,1.0,5.537593984962406,1.0,0.0033377440224101715,inf,0.8227675528289025,0.022556390977443608,1.0,0.5112781954887218
3,frozenset({'ACCENTURE FEDERAL SERVICES LLC'}),frozenset({'General Services Administration'}),0.0006788866259334691,0.014256619144602852,0.0006788866259334691,1.0,70.14285714285714,1.0,0.0006692079978651711,inf,0.9864130434782609,0.047619047619047616,1.0,0.5238095238095238
4,"frozenset({'ACTION PACT, INC.'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
5,frozenset({'ADAMS AND ASSOCIATES INC'}),frozenset({'Department of Labor'}),0.0006788866259334691,0.010183299389002037,0.0006788866259334691,1.0,98.2,1.0,0.0006719733201703992,inf,0.9904891304347826,0.06666666666666667,1.0,0.5333333333333333
6,frozenset({'ADVON CORPORATION'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
7,"frozenset({'AECOM TECHNICAL SERVICES, INC.'})",frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
8,"frozenset({'AGILE DECISION SCIENCES, LLC'})",frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
9,"frozenset({'AIRBOSS DEFENSE GROUP, LLC'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
10,frozenset({'AKIMA FACILITIES OPERATIONS LLC'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
11,frozenset({'AKTARIUS LLC'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
12,"frozenset({'ALBANY AREA PRIMARY HEALTH CARE, INC.'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
13,frozenset({'ALBANY STATE UNIVERSITY'}),frozenset({'Department of Education'}),0.0013577732518669382,0.04684317718940937,0.0013577732518669382,1.0,21.34782608695652,1.0,0.0012941708388466947,inf,0.9544527532290958,0.02898550724637681,1.0,0.5144927536231884
14,frozenset({'ALBERICI-MORTENSON A JOINT VENTURE'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
15,"frozenset({'ALLIANT HEALTH SOLUTIONS, INC.'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
16,"frozenset({'ALPHASIX, LLC.'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
17,"frozenset({'AMENTUM TECHNOLOGY, INC.'})",frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
18,"frozenset({""AMERICA'S HEALTH INSURANCE PLANS, INC.""})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
19,"frozenset({'AMERICAN MEDICAL RESPONSE, INC.'})",frozenset({'Department of Homeland Security'}),0.0006788866259334691,0.02308214528173795,0.0006788866259334691,1.0,43.3235294117647,1.0,0.0006632164662038439,inf,0.9775815217391304,0.02941176470588235,1.0,0.5147058823529411
20,frozenset({'AMERICAN TYPE CULTURE COLLECTION'}),frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
21,"frozenset({'ANDURIL INDUSTRIES, INC.'})",frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
22,"frozenset({'ARTHUR M. BLANK HOSPITAL, INC.'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
23,frozenset({'ASHBRITT INC'}),frozenset({'Department of Defense'}),0.0013577732518669382,0.18058384249830278,0.0013577732518669382,1.0,5.537593984962406,1.0,0.0011125813408033906,inf,0.8205302515295717,0.007518796992481203,1.0,0.5037593984962406
24,"frozenset({'ASHFORD LEEBCOR ENTERPRISES V, LLC'})",frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
25,"frozenset({'ATLANTIC DIVING SUPPLY, INC.'})",frozenset({'General Services Administration'}),0.0013577732518669382,0.014256619144602852,0.0013577732518669382,1.0,70.14285714285714,1.0,0.0013384159957303423,inf,0.9870836165873554,0.09523809523809523,1.0,0.5476190476190477
26,frozenset({'ATT MOBILITY LLC'}),frozenset({'Department of State'}),0.0006788866259334691,0.0013577732518669382,0.0006788866259334691,1.0,736.5,1.0,0.0006779648518317264,inf,0.9993206521739131,0.5000000000000001,1.0,0.75
27,frozenset({'Department of State'}),frozenset({'ATT MOBILITY LLC'}),0.0013577732518669382,0.0006788866259334691,0.0006788866259334691,0.5,736.5,1.0,0.0006779648518317264,1.998642226748133,1.0,0.5000000000000001,0.49966032608695654,0.75
28,"frozenset({'AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC'})",frozenset({'Department of Health and Human Services'}),0.0013577732518669382,0.16836388323150034,0.0013577732518669382,1.0,5.939516129032258,1.0,0.0011291732746347585,inf,0.8327668252889191,0.008064516129032258,1.0,0.5040322580645161
29,frozenset({'AUGUSTA-RICHMOND COUNTY GOVERNMENT'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
30,frozenset({'AVAPCO LLC'}),frozenset({'Department of Energy'}),0.0006788866259334691,0.008146639511201629,0.0006788866259334691,1.0,122.75000000000001,1.0,0.0006733559813230131,inf,0.9925271739130435,0.08333333333333334,1.0,0.5416666666666666
31,frozenset({'Agency for International Development'}),"frozenset({'COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC.'})",0.0006788866259334691,0.0006788866259334691,0.0006788866259334691,1.0,1473.0,1.0,0.0006784257388825978,inf,1.0,1.0,1.0,1.0
32,"frozenset({'COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC.'})",frozenset({'Agency for International Development'}),0.0006788866259334691,0.0006788866259334691,0.0006788866259334691,1.0,1473.0,1.0,0.0006784257388825978,inf,1.0,1.0,1.0,1.0
33,frozenset({'B & O JOINT VENTURE LLC'}),frozenset({'Department of Homeland Security'}),0.0006788866259334691,0.02308214528173795,0.0006788866259334691,1.0,43.3235294117647,1.0,0.0006632164662038439,inf,0.9775815217391304,0.02941176470588235,1.0,0.5147058823529411
34,frozenset({'BATTELLE MEMORIAL INSTITUTE'}),frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
35,"frozenset({'BHATE ZAPATA, LLC'})",frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
36,frozenset({'BL HARBERT INTERNATIONAL LLC'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
37,frozenset({'BLUE BIRD BODY COMPANY'}),frozenset({'Department of Energy'}),0.0006788866259334691,0.008146639511201629,0.0006788866259334691,1.0,122.75000000000001,1.0,0.0006733559813230131,inf,0.9925271739130435,0.08333333333333334,1.0,0.5416666666666666
38,frozenset({'BOARD OF WATER COMMISSIONERS OF COLUMBUS'}),frozenset({'Department of Defense'}),0.0006788866259334691,0.18058384249830278,0.0006788866259334691,1.0,5.537593984962406,1.0,0.0005562906704016953,inf,0.8199728260869564,0.0037593984962406013,1.0,0.5018796992481203
39,frozenset({'BOOZ ALLEN HAMILTON INC'}),frozenset({'Department of Health and Human Services'}),0.006788866259334691,0.16836388323150034,0.005431093007467753,0.7999999999999999,4.751612903225806,1.0,0.004288093121306854,4.158180583842497,0.7949419002050581,0.031999999999999994,0.7595102040816326,0.41612903225806447
