,support,itemsets
0,0.0027155465037338763,"frozenset({'4K GLOBAL-ACC JV, LLC'})"
1,0.0006788866259334691,frozenset({'ABACUS SOLUTIONS GROUP LLC'})
2,0.004073319755600814,frozenset({'ACC CONSTRUCTION CO INC'})
3,0.0006788866259334691,frozenset({'ACCENTURE FEDERAL SERVICES LLC'})
4,0.0006788866259334691,"frozenset({'ACTION PACT, INC.'})"
5,0.0006788866259334691,frozenset({'ADAMS AND ASSOCIATES INC'})
6,0.0006788866259334691,frozenset({'ADVON CORPORATION'})
7,0.0006788866259334691,"frozenset({'AECOM TECHNICAL SERVICES, INC.'})"
8,0.0006788866259334691,"frozenset({'AGILE DECISION SCIENCES, LLC'})"
9,0.0006788866259334691,"frozenset({'AIRBOSS DEFENSE GROUP, LLC'})"
10,0.0006788866259334691,frozenset({'AKIMA FACILITIES OPERATIONS LLC'})
11,0.0006788866259334691,frozenset({'AKTARIUS LLC'})
12,0.0006788866259334691,"frozenset({'ALBANY AREA PRIMARY HEALTH CARE, INC.'})"
13,0.0013577732518669382,frozenset({'ALBANY STATE UNIVERSITY'})
14,0.0006788866259334691,frozenset({'ALBERICI-MORTENSON A JOINT VENTURE'})
15,0.0006788866259334691,"frozenset({'ALLIANT HEALTH SOLUTIONS, INC.'})"
16,0.0006788866259334691,"frozenset({'ALPHASIX, LLC.'})"
17,0.0006788866259334691,"frozenset({'AMENTUM TECHNOLOGY, INC.'})"
18,0.0006788866259334691,"frozenset({""AMERICA'S HEALTH INSURANCE PLANS, INC.""})"
19,0.0006788866259334691,"frozenset({'AMERICAN MEDICAL RESPONSE, INC.'})"
20,0.0006788866259334691,frozenset({'AMERICAN TYPE CULTURE COLLECTION'})
21,0.0006788866259334691,"frozenset({'ANDURIL INDUSTRIES, INC.'})"
22,0.0006788866259334691,"frozenset({'ARTHUR M. BLANK HOSPITAL, INC.'})"
23,0.0013577732518669382,frozenset({'ASHBRITT INC'})
24,0.0006788866259334691,"frozenset({'ASHFORD LEEBCOR ENTERPRISES V, LLC'})"
25,0.0013577732518669382,"frozenset({'ATLANTIC DIVING SUPPLY, INC.'})"
26,0.0006788866259334691,frozenset({'ATT MOBILITY LLC'})
27,0.0013577732518669382,"frozenset({'AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC'})"
28,0.0006788866259334691,frozenset({'AUGUSTA-RICHMOND COUNTY GOVERNMENT'})
29,0.0006788866259334691,frozenset({'AVAPCO LLC'})
30,0.0006788866259334691,frozenset({'Agency for International Development'})
31,0.0006788866259334691,frozenset({'B & O JOINT VENTURE LLC'})
32,0.0006788866259334691,frozenset({'BATTELLE MEMORIAL INSTITUTE'})
33,0.0006788866259334691,"frozenset({'BHATE ZAPATA, LLC'})"
34,0.0006788866259334691,frozenset({'BL HARBERT INTERNATIONAL LLC'})
35,0.0006788866259334691,frozenset({'BLUE BIRD BODY COMPANY'})
36,0.0006788866259334691,frozenset({'BOARD OF WATER COMMISSIONERS OF COLUMBUS'})
37,0.006788866259334691,frozenset({'BOOZ ALLEN HAMILTON INC'})
38,0.0033944331296673455,frozenset({'BOYS & GIRLS CLUBS OF AMERICA'})
39,0.0006788866259334691,frozenset({'BRASFIELD & GORRIE LLC'})
40,0.0006788866259334691,frozenset({'BRYTECH INC'})
41,0.0006788866259334691,frozenset({'C & C CONTRACTORS LLC'})
42,0.0006788866259334691,"frozenset({'C M C, INC.'})"
43,0.0006788866259334691,"frozenset({'CACI, INC. - FEDERAL'})"
44,0.0006788866259334691,frozenset({'CADUCEUS HEALTHCARE INC'})
45,0.0006788866259334691,"frozenset({'CALCA SOLUTIONS, LLC'})"
46,0.0006788866259334691,"frozenset({'CARDINAL HEALTH 200, LLC'})"
47,0.0006788866259334691,"frozenset({'CARECONNECT HEALTH, INC.'})"
48,0.0006788866259334691,frozenset({'CHATTAHOOCHEE TECHNICAL COLLEGE'})
49,0.002036659877800407,"frozenset({'CHENEGA GLOBAL PROTECTION, LLC'})"
50,0.0006788866259334691,"frozenset({'CHENEGA INFINITY, LLC'})"
51,0.0006788866259334691,"frozenset({'CHEROKEE FEDERAL SOLUTIONS, L.L.C.'})"
52,0.0006788866259334691,frozenset({'CHEROKEE NATION GOVERNMENT SOLUTIONS LLC'})
53,0.0006788866259334691,"frozenset({'CHEROKEE NATION MANAGEMENT & CONSULTING, L.L.C..'})"
54,0.0006788866259334691,"frozenset({'CHEROKEE NATION OPERATIONAL SOLUTIONS, L.L.C.'})"
55,0.0006788866259334691,frozenset({'CITY OF ATLANTA'})
56,0.0013577732518669382,"frozenset({'CLARK ATLANTA UNIVERSITY, INC.'})"
57,0.0013577732518669382,frozenset({'CLARKE COUNTY SCHOOL DISTRICT'})
58,0.0006788866259334691,"frozenset({'COASTAL GEORGIA AREA COMMUNITY ACTION AUTHORITY, INC.'})"
59,0.0006788866259334691,frozenset({'COASTAL PLAIN AREA ECONOMIC OPPORTUNITY AUTHORITY INC'})
60,0.0006788866259334691,"frozenset({'COLUMBIA, COUNTY OF'})"
61,0.0006788866259334691,frozenset({'COLUMBUS STATE UNIVERSITY'})
62,0.0006788866259334691,"frozenset({'COMMUNITY ACTION FOR IMPROVEMENT, INC.'})"
63,0.0047522063815342835,"frozenset({'COMMUNITY AFFAIRS, GEORGIA DEPARTMENT OF'})"
64,0.0006788866259334691,"frozenset({'COMMUNITY HEALTH CARE SYSTEMS, INC.'})"
65,0.0006788866259334691,"frozenset({'CONSTELLA GROUP, LLC'})"
66,0.0006788866259334691,"frozenset({'CONSTELLATION ENERGY SOLUTIONS, LLC'})"
67,0.0006788866259334691,"frozenset({'COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC.'})"
68,0.0013577732518669382,"frozenset({'COPPER CONSTRUCTION COMPANY, INC.'})"
69,0.0013577732518669382,"frozenset({'COUNCIL OF STATE AND TERRITORIAL EPIDEMIOLOGISTS, INC.'})"
70,0.0006788866259334691,frozenset({'COUNTY OF CHATHAM'})
71,0.0013577732518669382,frozenset({'COUNTY OF FULTON'})
72,0.002036659877800407,frozenset({'COUNTY OF GWINNETT'})
73,0.0013577732518669382,"frozenset({'CREATIVE IT SOLUTIONS, LLC'})"
74,0.0006788866259334691,frozenset({'CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY'})
75,0.0013577732518669382,frozenset({'CRIMINAL JUSTICE COORDINATING COUNCIL'})
76,0.0006788866259334691,"frozenset({'CSRA ECONOMIC OPPORTUNITY AUTHORITY, INC.'})"
77,0.0006788866259334691,frozenset({'CURTIS V COOPER PRIMARY HEALTH CARE INC'})
78,0.0006788866259334691,"frozenset({'CYBER ENGINEERING AND TECHNICAL ALLIANCE, LLC'})"
79,0.0006788866259334691,"frozenset({'DATAPATH, INC.'})"
80,0.0006788866259334691,"frozenset({""DAWSON'S REALTY & MORTGAGES, INC.""})"
81,0.0006788866259334691,"frozenset({'DB CONSULTING GROUP, INC.'})"
82,0.0013577732518669382,frozenset({'DELOITTE CONSULTING LLP'})
83,0.006788866259334691,frozenset({'DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES'})
84,0.0006788866259334691,frozenset({'DEPARTMENT OF COMMUNITY HEALTH GEORGIA'})
85,0.010862186014935505,frozenset({'DEPARTMENT OF EARLY CARE & LEARNING GEORGIA'})
86,0.012898845892735914,frozenset({'DEPARTMENT OF HUMAN SERVICES'})
87,0.0006788866259334691,frozenset({'DEPARTMENT OF INSURANCE OF THE STATE OF GEORGIA'})
88,0.0013577732518669382,frozenset({'DEPARTMENT OF NATURAL RESOURCES'})
89,0.0006788866259334691,frozenset({'DIGITAL MANAGEMENT LLC'})
90,0.0006788866259334691,"frozenset({'DMAERO, LLC'})"
91,0.015614392396469789,frozenset({'Department of Agriculture'})
92,0.0027155465037338763,frozenset({'Department of Commerce'})
93,0.18058384249830278,frozenset({'Department of Defense'})
94,0.04684317718940937,frozenset({'Department of Education'})
95,0.008146639511201629,frozenset({'Department of Energy'})
96,0.16836388323150034,frozenset({'Department of Health and Human Services'})
97,0.02308214528173795,frozenset({'Department of Homeland Security'})
98,0.012898845892735914,frozenset({'Department of Housing and Urban Development'})
99,0.006109979633401222,frozenset({'Department of Justice'})
100,0.010183299389002037,frozenset({'Department of Labor'})
101,0.0013577732518669382,frozenset({'Department of State'})
102,0.041412084181941616,frozenset({'Department of Transportation'})
103,0.0835030549898167,frozenset({'Department of Veterans Affairs'})
104,0.0006788866259334691,frozenset({'Department of the Interior'})
105,0.006109979633401222,frozenset({'Department of the Treasury'})
106,0.0006788866259334691,"frozenset({'EAGLE HEALTH ANALYTICS, LLC'})"
107,0.0006788866259334691,frozenset({'EARLY CHILDHOOD DEVELOPMENT CO LLC'})
108,0.0006788866259334691,frozenset({'EAST GA HEALTHCARE CENTER'})
109,0.002036659877800407,"frozenset({'EASTER SEALS NORTH GEORGIA, INC.'})"
110,0.0006788866259334691,"frozenset({'ECC INTERNATIONAL, LLC'})"
111,0.0006788866259334691,"frozenset({'ECONOMIC OPPORTUNITY FOR SAVANNAH-CHATHAM COUNTY AREA, INC.'})"
112,0.018329938900203666,frozenset({'EMORY UNIVERSITY'})
113,0.0006788866259334691,frozenset({'ENERGY SYSTEMS GROUP LLC'})
114,0.002036659877800407,"frozenset({'ENRICHMENT SERVICES PROGRAM, INC.'})"
115,0.0006788866259334691,frozenset({'EXAMINATION RESOURCES LLC'})
116,0.0006788866259334691,frozenset({'Election Assistance Commission'})
117,0.008146639511201629,frozenset({'Environmental Protection Agency'})
