,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'DOUGHERTY'}),frozenset({'0-100000'}),0.01493550577053632,0.16361167684996605,0.01493550577053632,1.0,6.112033195020747,1.0,0.012491882626816529,inf,0.8490696071674707,0.0912863070539419,1.0,0.5456431535269709
1,frozenset({'GLYNN'}),frozenset({'0-100000'}),0.01697216564833673,0.16361167684996605,0.01697216564833673,1.0,6.112033195020747,1.0,0.014195321166836965,inf,0.8508287292817679,0.1037344398340249,1.0,0.5518672199170125
2,frozenset({'BIBB'}),frozenset({'100000-200000'}),0.013577732518669382,0.16089613034623218,0.013577732518669382,1.0,6.215189873417722,1.0,0.011393127897539278,inf,0.8506538196834137,0.08438818565400844,1.0,0.5421940928270043
3,frozenset({'CLARKE'}),frozenset({'100000-200000'}),0.013577732518669382,0.16089613034623218,0.013577732518669382,1.0,6.215189873417722,1.0,0.011393127897539278,inf,0.8506538196834137,0.08438818565400844,1.0,0.5421940928270043
4,frozenset({'COLUMBIA'}),frozenset({'100000-200000'}),0.015614392396469789,0.16089613034623218,0.015614392396469789,1.0,6.215189873417722,1.0,0.01310209708217017,inf,0.8524137931034483,0.0970464135021097,1.0,0.5485232067510548
5,frozenset({'COWETA'}),frozenset({'100000-200000'}),0.010183299389002037,0.16089613034623218,0.010183299389002037,1.0,6.215189873417722,1.0,0.008544845923154458,inf,0.8477366255144033,0.06329113924050633,1.0,0.5316455696202531
6,frozenset({'100000-200000'}),"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",0.16089613034623218,0.4453496266123557,0.11948404616429056,0.7426160337552743,1.667489966038901,1.0,0.04782901459122314,2.1549530900470772,0.4770520741394528,0.24546722454672243,0.5359527756689341,0.5054543583410518
7,frozenset({'DOUGLAS'}),frozenset({'100000-200000'}),0.010183299389002037,0.16089613034623218,0.010183299389002037,1.0,6.215189873417722,1.0,0.008544845923154458,inf,0.8477366255144033,0.06329113924050633,1.0,0.5316455696202531
8,frozenset({'FAYETTE'}),frozenset({'100000-200000'}),0.010183299389002037,0.16089613034623218,0.010183299389002037,1.0,6.215189873417722,1.0,0.008544845923154458,inf,0.8477366255144033,0.06329113924050633,1.0,0.5316455696202531
9,frozenset({'HOUSTON'}),frozenset({'100000-200000'}),0.038696537678207736,0.16089613034623218,0.038696537678207736,1.0,6.215189873417722,1.0,0.03247041450798694,inf,0.8728813559322034,0.24050632911392403,1.0,0.620253164556962
10,frozenset({'LOWNDES'}),frozenset({'100000-200000'}),0.014256619144602852,0.16089613034623218,0.014256619144602852,1.0,6.215189873417722,1.0,0.011962784292416243,inf,0.8512396694214877,0.08860759493670886,1.0,0.5443037974683544
11,frozenset({'100000-200000'}),frozenset({'MULTIPLE RECIPIENTS'}),0.16089613034623218,0.45824847250509165,0.11948404616429056,0.7426160337552743,1.6205532114392875,1.0,0.04575364020114954,2.104837901906447,0.4563520520741394,0.23913043478260865,0.5249040322324801,0.5016783872480075
12,frozenset({'CHATHAM'}),frozenset({'200000-750000'}),0.03326544467073999,0.1690427698574338,0.03326544467073999,1.0,5.91566265060241,1.0,0.027642161763058892,inf,0.8595505617977528,0.19678714859437754,1.0,0.5983935742971888
13,frozenset({'CHEROKEE'}),frozenset({'200000-750000'}),0.012219959266802444,0.1690427698574338,0.012219959266802444,1.0,5.91566265060241,1.0,0.010154263504797142,inf,0.8412371134020618,0.07228915662650602,1.0,0.536144578313253
14,frozenset({'CLAYTON'}),frozenset({'200000-750000'}),0.015614392396469789,0.1690427698574338,0.015614392396469789,1.0,5.91566265060241,1.0,0.012974892256129682,inf,0.8441379310344828,0.09236947791164658,1.0,0.5461847389558233
15,frozenset({'FORSYTH'}),frozenset({'200000-750000'}),0.010862186014935505,0.1690427698574338,0.010862186014935505,1.0,5.91566265060241,1.0,0.009026012004264127,inf,0.8400823610157858,0.0642570281124498,1.0,0.5321285140562249
16,frozenset({'HALL'}),frozenset({'200000-750000'}),0.013577732518669382,0.1690427698574338,0.013577732518669382,1.0,5.91566265060241,1.0,0.01128251500533016,inf,0.842395044735031,0.08032128514056225,1.0,0.5401606425702812
17,frozenset({'HENRY'}),frozenset({'200000-750000'}),0.02240325865580448,0.1690427698574338,0.02240325865580448,1.0,5.91566265060241,1.0,0.01861614975879476,inf,0.85,0.13253012048192772,1.0,0.5662650602409639
18,frozenset({'MUSCOGEE'}),frozenset({'200000-750000'}),0.027155465037338764,0.1690427698574338,0.027155465037338764,1.0,5.91566265060241,1.0,0.02256503001066032,inf,0.8541521284019541,0.1606425702811245,1.0,0.5803212851405622
19,frozenset({'RICHMOND'}),frozenset({'200000-750000'}),0.03394433129667346,0.1690427698574338,0.03394433129667346,1.0,5.91566265060241,1.0,0.0282062875133254,inf,0.8601546029515108,0.20080321285140565,1.0,0.6004016064257028
