,support,itemsets,length
444,0.097759674,"frozenset({'100000-200000', 'MULTIPLE RECIPIENTS', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
435,0.090970808,"frozenset({'Social Security Administration', 'MULTIPLE RECIPIENTS', '0-100000', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
458,0.083503055,"frozenset({'200000-750000', 'MULTIPLE RECIPIENTS', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
492,0.049558724,"frozenset({'MULTIPLE RECIPIENTS', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', '>950000'})",4
465,0.045485404,"frozenset({'75000-950000', 'Department of Defense', 'LOCKHEED MARTIN CORP', 'COBB'})",4
461,0.044806517,"frozenset({'Department of Defense', '75000-950000', 'DELIVERY ORDER', 'COBB'})",4
478,0.044127631,"frozenset({'MULTIPLE RECIPIENTS', 'Social Security Administration', '75000-950000', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
462,0.039375424,"frozenset({'75000-950000', 'DELIVERY ORDER', 'LOCKHEED MARTIN CORP', 'COBB'})",4
476,0.039375424,"frozenset({'Department of Defense', '75000-950000', 'DELIVERY ORDER', 'LOCKHEED MARTIN CORP'})",4
510,0.039375424,"frozenset({'DELIVERY ORDER', 'Department of Defense', 'LOCKHEED MARTIN CORP', 'COBB'})",4
524,0.039375424,"frozenset({'COBB', 'Department of Defense', 'DELIVERY ORDER', 'LOCKHEED MARTIN CORP', '75000-950000'})",5
501,0.035302105,"frozenset({'FORMULA GRANT (A)', 'Department of Transportation', 'FULTON', '>950000'})",4
488,0.034623218,"frozenset({'FULTON', 'MULTIPLE RECIPIENTS', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', '>950000'})",4
463,0.033944331,"frozenset({'MULTIPLE RECIPIENTS', '75000-950000', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'COBB'})",4
503,0.032586558,"frozenset({'Department of Transportation', 'FULTON', '>950000', 'GEORGIA DEPARTMENT OF TRANSPORTATION'})",4
502,0.029871012,"frozenset({'FORMULA GRANT (A)', 'Department of Transportation', '>950000', 'GEORGIA DEPARTMENT OF TRANSPORTATION'})",4
504,0.029871012,"frozenset({'FORMULA GRANT (A)', 'FULTON', '>950000', 'GEORGIA DEPARTMENT OF TRANSPORTATION'})",4
520,0.029871012,"frozenset({'FORMULA GRANT (A)', 'Department of Transportation', 'FULTON', 'GEORGIA DEPARTMENT OF TRANSPORTATION'})",4
533,0.029871012,"frozenset({'>950000', 'FULTON', 'FORMULA GRANT (A)', 'Department of Transportation', 'GEORGIA DEPARTMENT OF TRANSPORTATION'})",5
483,0.029192125,"frozenset({'DELIVERY ORDER', 'FULTON', 'Department of Defense', '>950000'})",4
451,0.028513238,"frozenset({'200000-750000', 'Department of Veterans Affairs', 'MULTIPLE RECIPIENTS', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",4
489,0.028513238,"frozenset({'FULTON', 'Social Security Administration', 'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', '>950000'})",4
