,support,itemsets
0,0.3652410047522064,frozenset({'(RI)'})
1,0.36591989137813985,frozenset({'AGGREGATE'})
2,0.18329938900203666,frozenset({'AND'})
3,0.37067209775967414,frozenset({'BENEFITS'})
4,0.13374066530889342,frozenset({'FOR'})
5,0.06653088934147998,frozenset({'GRANT'})
6,0.06924643584521385,frozenset({'IN'})
7,0.38289205702647655,frozenset({'INSURANCE'})
8,0.11473183978275628,frozenset({'OF'})
9,0.07942973523421588,frozenset({'PROGRAM'})
10,0.3652410047522064,frozenset({'RETIREMENT'})
11,0.08825526137135098,frozenset({'SERVICES'})
12,0.09300746775288526,frozenset({'SUPPORT'})
13,0.07942973523421588,frozenset({'SVCCOMP'})
14,0.10522742701968771,frozenset({'THE'})
15,0.1120162932790224,frozenset({'TO'})
16,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)'})"
17,0.3652410047522064,"frozenset({'BENEFITS', '(RI)'})"
18,0.3652410047522064,"frozenset({'(RI)', 'INSURANCE'})"
19,0.3652410047522064,"frozenset({'(RI)', 'RETIREMENT'})"
20,0.36591989137813985,"frozenset({'AGGREGATE', 'BENEFITS'})"
21,0.3652410047522064,"frozenset({'AGGREGATE', 'INSURANCE'})"
22,0.3652410047522064,"frozenset({'AGGREGATE', 'RETIREMENT'})"
23,0.09164969450101833,"frozenset({'AND', 'FOR'})"
24,0.08689748811948404,"frozenset({'OF', 'AND'})"
25,0.09097080787508487,"frozenset({'THE', 'AND'})"
26,0.08486082824168364,"frozenset({'AND', 'TO'})"
27,0.3652410047522064,"frozenset({'BENEFITS', 'INSURANCE'})"
28,0.3652410047522064,"frozenset({'BENEFITS', 'RETIREMENT'})"
29,0.07875084860828242,"frozenset({'OF', 'FOR'})"
30,0.07807196198234895,"frozenset({'THE', 'FOR'})"
31,0.06924643584521385,"frozenset({'FOR', 'TO'})"
32,0.3652410047522064,"frozenset({'INSURANCE', 'RETIREMENT'})"
33,0.0855397148676171,"frozenset({'OF', 'THE'})"
34,0.08078750848608282,"frozenset({'OF', 'TO'})"
35,0.08010862186014936,"frozenset({'THE', 'TO'})"
36,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)', 'BENEFITS'})"
37,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)', 'INSURANCE'})"
38,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)', 'RETIREMENT'})"
39,0.3652410047522064,"frozenset({'BENEFITS', '(RI)', 'INSURANCE'})"
40,0.3652410047522064,"frozenset({'BENEFITS', '(RI)', 'RETIREMENT'})"
41,0.3652410047522064,"frozenset({'(RI)', 'INSURANCE', 'RETIREMENT'})"
42,0.3652410047522064,"frozenset({'AGGREGATE', 'BENEFITS', 'INSURANCE'})"
43,0.3652410047522064,"frozenset({'AGGREGATE', 'BENEFITS', 'RETIREMENT'})"
44,0.3652410047522064,"frozenset({'AGGREGATE', 'INSURANCE', 'RETIREMENT'})"
45,0.06788866259334692,"frozenset({'OF', 'AND', 'FOR'})"
46,0.07060420909708079,"frozenset({'THE', 'AND', 'FOR'})"
47,0.06177868295994569,"frozenset({'AND', 'FOR', 'TO'})"
48,0.07603530210454854,"frozenset({'OF', 'THE', 'AND'})"
49,0.06924643584521385,"frozenset({'OF', 'AND', 'TO'})"
50,0.07671418873048201,"frozenset({'THE', 'AND', 'TO'})"
51,0.3652410047522064,"frozenset({'BENEFITS', 'INSURANCE', 'RETIREMENT'})"
52,0.06720977596741344,"frozenset({'OF', 'THE', 'FOR'})"
53,0.06517311608961303,"frozenset({'OF', 'FOR', 'TO'})"
54,0.06177868295994569,"frozenset({'THE', 'FOR', 'TO'})"
55,0.07128309572301425,"frozenset({'OF', 'THE', 'TO'})"
56,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)', 'BENEFITS', 'INSURANCE'})"
57,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)', 'BENEFITS', 'RETIREMENT'})"
58,0.3652410047522064,"frozenset({'AGGREGATE', '(RI)', 'INSURANCE', 'RETIREMENT'})"
59,0.3652410047522064,"frozenset({'BENEFITS', '(RI)', 'INSURANCE', 'RETIREMENT'})"
60,0.3652410047522064,"frozenset({'AGGREGATE', 'BENEFITS', 'INSURANCE', 'RETIREMENT'})"
61,0.06381534283774609,"frozenset({'OF', 'THE', 'AND', 'FOR'})"
62,0.06788866259334692,"frozenset({'OF', 'THE', 'AND', 'TO'})"
63,0.3652410047522064,"frozenset({'BENEFITS', 'RETIREMENT', 'AGGREGATE', '(RI)', 'INSURANCE'})"
