,Recipients,Obligations,awardAmount,cluster
0,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,24903303688.0,7,2
1,DEPARTMENT OF EARLY CARE & LEARNING GEORGIA,4119590512.6999993,16,0
2,DEPARTMENT OF HUMAN SERVICES,5154935969.83,19,0
3,DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES,436618624.4,10,4
4,VERIZON BUSINESS NETWORK SERVICES LLC,232418745.69,2,3
5,RESEARCH MANAGEMENT CONSULTANTS INC,143397225.1,1,3
6,"ATLANTIC DIVING SUPPLY, INC.",136416070.99,2,3
7,"IPG DXTRA, INC.",66522628.9,1,3
8,BATTELLE MEMORIAL INSTITUTE,57832630.71,1,3
9,GOVSTRIVE LLC,39449846.0,1,3
10,"JONES LANG LASALLE AMERICAS, INC.",33441668.95,1,3
11,MCP COMPUTER PRODUCTS INC,23198736.07,1,3
12,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,2776796309.67,19,0
13,"NATIONAL FOUNDATION FOR THE CENTERS FOR DISEASE CONTROL & PREVENTION, INC.",593526409.0,4,4
14,GEORGIA ENVIRONMENTAL FINANCE AUTHORITY,883198767.0,13,4
15,"NATIONAL ASSOCIATION OF CHRONIC DISEASE DIRECTORS, INC.",219600584.0,2,3
16,"COUNCIL OF STATE AND TERRITORIAL EPIDEMIOLOGISTS, INC.",221872529.8,2,3
17,EMORY UNIVERSITY,1345817976.5,27,4
18,AVAPCO LLC,100000000.0,1,3
19,"THE TASK FORCE FOR GLOBAL HEALTH, INC.",174639291.0,3,3
20,SOUTHERN STATES ENERGY BOARD,55248172.0,1,3
21,"THE MOREHOUSE SCHOOL OF MEDICINE, INC.",111902008.49000001,3,3
22,GEORGIA TECH RESEARCH CORP,262370584.24,9,4
23,"INTEGRAL GLOBAL HEALTH, INC.",36307501.0,1,3
24,"COLUMBIA, COUNTY OF",34027954.33,1,3
25,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC.",27533165.0,1,3
26,LOCKHEED MARTIN CORP,31241772350.360004,67,2
27,LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY,799350134.8199999,2,4
28,WUNDERMAN THOMPSON LLC,778445552.1,2,4
29,ALBERICI-MORTENSON A JOINT VENTURE,619014958.4,1,4
30,"THE GEO GROUP, INC.",540793502.1,1,3
31,"LEIDOS, INC.",792098563.53,8,4
32,LOCKHEED MARTIN CORPORATION,379585965.14,2,3
33,"TIYA SERVICES, L.L.C.",377635607.56,2,3
34,GULFSTREAM AEROSPACE CORPORATION,460968810.97,6,4
35,"HCBECK, LTD.",221114401.0,1,3
36,"AMERICA'S HEALTH INSURANCE PLANS, INC.",186398838.7,1,3
37,VALIANT TECHNICAL SERVICES INC.,187950270.85,2,3
38,ACC CONSTRUCTION CO INC,494710406.73999995,6,4
39,AUGUSTA-RICHMOND COUNTY GOVERNMENT,159526607.3,1,3
40,M. A. MORTENSON COMPANY,304119854.4,2,3
41,"CHENEGA INFINITY, LLC",139920904.0,1,3
42,BL HARBERT INTERNATIONAL LLC,137368601.0,1,3
43,AMERICAN TYPE CULTURE COLLECTION,133905814.6,1,3
44,KARNA LLC,126091187.5,1,3
45,BRASFIELD & GORRIE LLC,119136914.0,1,3
46,BOARD OF WATER COMMISSIONERS OF COLUMBUS,117261228.6,1,3
47,J KOKOLAKIS CONTRACTING INC,115341906.8,1,3
48,B & O JOINT VENTURE LLC,111766954.3,1,3
49,"CHENEGA GLOBAL PROTECTION, LLC",159233292.49,3,3
50,"KGJJ ENGINEERING SOLUTIONS, LLC",108691811.4,1,3
51,GEORGIA TECH APPLIED RESEARCH CORP,1864035129.56,42,0
52,GILBANE FEDERAL,99367886.0,1,3
53,"RQ CONSTRUCTION, LLC",264076242.94,3,3
54,"ANDURIL INDUSTRIES, INC.",93994917.0,1,3
55,GEORGIA POWER COMPANY,319836447.92,5,3
56,FOUR SEASONS ENVIRONMENTAL INC,137328175.59,2,3
57,LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,84890339.08,1,3
58,LIFE SCIENCE LOGISTICS LLC,176350361.47,3,3
59,"MANHATTAN ASSOCIATES, INC.",79281655.13,1,3
60,GEORGIA VOCATIONAL REHABILITATION AGENCY,514724846.74,9,4
61,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",97528255.0,2,3
62,"INTEGRATED QUALITY SOLUTIONS, LLC",94011310.38,2,3
63,"SAUER CONSTRUCTION, LLC",117877267.46000001,2,3
64,"AIRBOSS DEFENSE GROUP, LLC",69621048.98,1,3
65,NEW YORK EMBROIDERY STUDIO INC.,66810209.47,1,3
66,"ZODIAC-POETTKER HBZ JOINT VENTURE II, LLC",56519974.9,1,3
67,"CARDINAL HEALTH 200, LLC",56446895.46,1,3
68,J. E. DUNN CONSTRUCTION COMPANY,54691730.48,1,3
69,MANAGEMENT & TRAINING CORPORATION,53321264.92,1,3
70,"SHOWA BEST GLOVE, INC.",50634521.0,1,3
71,"ROUNDHOUSE PBN, LLC",49357642.0,1,3
72,MCKNIGHT CONSTRUCTION CO.,46730892.87,1,3
73,TK & K SERVICES LLC,73959528.32,2,3
74,ROUNDHOUSE PBN - TEPA EC 2 JOINT VENTURE,45377572.0,1,3
75,"COPPER CONSTRUCTION COMPANY, INC.",83844383.9,2,3
76,"OPS TECH ALLIANCE, LLC",42850017.7,1,3
77,ADAMS AND ASSOCIATES INC,42420801.66,1,3
78,"ODLE MANAGEMENT GROUP, L.L.C.",68508262.72,2,3
79,"4K GLOBAL-ACC JV, LLC",118848532.36,4,3
80,"AGILE DECISION SCIENCES, LLC",37992631.72,1,3
81,FLINT ELECTRIC MEMBERSHIP CORP,37886274.14,1,3
82,"CONSTELLA GROUP, LLC",36366464.98,1,3
83,"T47 INTERNATIONAL, INC.",35026032.43,1,3
84,THE HASKELL COMPANY,34384000.0,1,3
85,"GOODWILL INDUSTRIES OF NORTH GEORGIA, INC.",62669501.480000004,2,3
86,"POWER WORKS INDUSTRIES, INC",33187871.51,1,3
87,METRO LOGICS INC,31929740.0,1,3
88,"SAND POINT SERVICES, LLC",104762933.02,3,3
89,VERTEX AIRCRAFT INTEGRATION AND SUSTAINMENT LLC,30809014.25,1,3
90,NLGC JV LLC,29836882.53,1,3
91,GCI-SAC JV LLC,29390541.0,1,3
92,"CREATIVE IT SOLUTIONS, LLC",52829753.24,2,3
93,"PARAGON BENEFITS, INC.",29094300.0,1,3
94,KADIAK LLC,28338729.72,1,3
95,MARINEX CONSTRUCTION INC,82944768.18,3,3
96,"WEEKS MARINE, INC.",28128150.0,1,3
97,"HURLEY JV, LLP",27849345.0,1,3
98,THE CORPORATION OF MERCER UNIVERSITY,70083829.96000001,3,3
99,"TSAY/FERGUSON-WILLIAMS, LLC",25663497.44,1,3
100,C & C CONTRACTORS LLC,25353183.72,1,3
101,OPEN SAN CONSULTING L.L.C.,24933937.69,1,3
102,"TSS - DRT JOINT VENTURE, LIMITED LIABILITY CORPORATION",24697551.19,1,3
103,"ASHFORD LEEBCOR ENTERPRISES V, LLC",24558347.17,1,3
104,"GC&E FEDERAL, LLC",24266342.88,1,3
105,HERMEUS CORP,23770000.0,1,3
106,"GOLDBELT C6, LLC",44903221.43,2,3
107,V LINE SERVICES L.L.C.,23087400.0,1,3
108,RSI-QUANTITECH JV LLC,22919943.69,1,3
109,GLOBAL DEFENSE SOLUTIONS LP,22731360.37,1,3
110,"EAGLE HEALTH ANALYTICS, LLC",22420669.19,1,3
111,LEXISNEXIS RISK SOLUTIONS INC,22132743.0,1,3
112,TURNER CONSTRUCTION COMPANY,22127660.11,1,3
113,GE RENEWABLES US LLC,21874873.23,1,3
114,AKTARIUS LLC,20785547.0,1,3
115,TACTICA SOLUTIONS LLC,20706054.18,1,3
116,GOLDBELT SECURITY LLC,20467148.15,1,3
117,"CHEROKEE FEDERAL SOLUTIONS, L.L.C.",20338649.3,1,3
118,ADVON CORPORATION,20323976.19,1,3
119,"CHEROKEE NATION OPERATIONAL SOLUTIONS, L.L.C.",20235898.27,1,3
120,"PHOENIX AIR GROUP, INC.",418325383.8,1,3
121,I3 FEDERAL LLC,413492027.6,1,3
122,BOOZ ALLEN HAMILTON INC,803690938.8400002,10,4
123,"PLOWSHARE GROUP, INC",373880937.7,1,3
124,VS2 LLC,366105950.4,1,3
125,PERATON INC.,542820322.08,7,4
126,"DATAPATH, INC.",250349308.8,1,3
127,VECTRUS SYSTEMS LLC,226110902.9,1,3
128,"CACI, INC. - FEDERAL",220033855.0,1,3
129,"DAWSON'S REALTY & MORTGAGES, INC.",215783340.3,1,3
130,"ECC INTERNATIONAL, LLC",202152509.6,1,3
131,MICROSOFT CORPORATION,172503499.9,1,3
132,PARAGON SYSTEMS INC,198999941.20000002,3,3
133,POND CONSTRUCTORS INC.,223581861.31,3,3
134,"NTT DATA SERVICES FEDERAL GOVERNMENT, LLC",171876231.85999998,2,3
135,VANQUISH WORLDWIDE L.L.C.,123105916.8,1,3
136,NDCHEALTH CORPORATION,118719337.0,1,3
137,"WHITNEY BRADLEY & BROWN, INC.",108490905.4,1,3
138,"ALPHASIX, LLC.",107642755.4,1,3
139,ACCENTURE FEDERAL SERVICES LLC,92147768.07,1,3
140,NORTHROP GRUMMAN SYSTEMS CORP,227029897.79,5,3
141,"KBR WYLE SERVICES, LLC",191808965.77,4,3
142,OCTO METRIC LLC,80513834.38,1,3
143,"ALLIANT HEALTH SOLUTIONS, INC.",75075084.0,1,3
144,"SYNERGY LOGISTICS SERVICES, LLC",73816040.51,1,3
145,HII MISSION TECHNOLOGIES CORP,132720911.92,2,3
146,NORTHROP GRUMMAN SYSTEMS CORPORATION,240199174.42000002,6,3
147,"JANUS RESEARCH GROUP, LLC",57661560.68,1,3
148,JCB INC.,205492634.89000002,5,3
149,NATIONAL OPINION RESEARCH CENTER,51421139.0,1,3
150,"CYBER ENGINEERING AND TECHNICAL ALLIANCE, LLC",48568243.63,1,3
151,"INTERNATIONAL AUTO LOGISTICS, LLC",69358089.17999999,2,3
152,ASHBRITT INC,67677923.15,2,3
153,SCIENTIFIC RESEARCH CORPORATION,248538125.28,7,3
154,"DB CONSULTING GROUP, INC.",45245423.2,1,3
155,IESE SOLUTIONS,45243836.15,1,3
156,"LUKOS, LLC",40426653.26,1,3
157,AKIMA FACILITIES OPERATIONS LLC,40016248.15,1,3
158,LEEBCOR SERVICES LLC,38827594.64,1,3
159,"MIRION TECHNOLOGIES (CANBERRA), INC.",38504056.74,1,3
160,"JOHNSON CONTROLS GOVERNMENT SYSTEMS, LLC",37969682.5,1,3
161,ENERGY SYSTEMS GROUP LLC,37305075.0,1,3
162,PEGASUS SUPPORT SERVICES LLC,37147888.2,1,3
163,WESTON SOLUTIONS INC,36984995.77,1,3
164,"URS GROUP, INC.",36583454.95,1,3
165,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",35946570.1,1,3
166,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,68540806.97,2,3
167,"CONSTELLATION ENERGY SOLUTIONS, LLC",34773324.79,1,3
168,"FIVE STONES INTELLIGENCE, INC.",34390351.3,1,3
169,RAYTHEON COMPANY,33909521.0,1,3
170,CADUCEUS HEALTHCARE INC,33902321.46,1,3
171,EXAMINATION RESOURCES LLC,32476502.0,1,3
172,FAIRWINDS TECHNOLOGIES LLC,32096568.95,1,3
173,"PRIMETECH INTERNATIONAL, INC.",31971765.23,1,3
174,"NORESCO, LLC",31713703.53,1,3
175,"WHITING-TURNER CONTRACTING COMPANY, THE",31618380.0,1,3
176,BRYTECH INC,31143424.56,1,3
177,"C M C, INC.",29999600.0,1,3
178,"SCHNEIDER ELECTRIC BUILDINGS AMERICAS, INC.",29877567.89,1,3
179,"BHATE ZAPATA, LLC",27631011.01,1,3
180,DELOITTE CONSULTING LLP,49035785.16,2,3
181,SAWTST LLC,26394962.48,1,3
182,LEADER COMMUNICATIONS INC.,26135543.21,1,3
183,"AECOM TECHNICAL SERVICES, INC.",25918814.0,1,3
184,CHEROKEE NATION GOVERNMENT SOLUTIONS LLC,24691542.57,1,3
185,"FACILITY SERVICES MANAGEMENT, INC.",24160799.01,1,3
186,ATT MOBILITY LLC,23930433.98,1,3
187,"HIGHERECHELON, INC.",23887889.01,1,3
188,"JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC",23776112.0,1,3
189,ABACUS SOLUTIONS GROUP LLC,23575285.73,1,3
190,"AMERICAN MEDICAL RESPONSE, INC.",23493237.36,1,3
191,"TYONEK TECHNICAL SERVICES, LLC",23429534.88,1,3
192,MCKING CONSULTING CORPORATION,23218286.33,1,3
193,"TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES (TJFACT), LLC",23063170.58,1,3
194,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,23035473.07,1,3
195,G2S CORP,22889172.06,1,3
196,SAW-GREENLAND JV II LLC,22771020.54,1,3
197,"AMENTUM TECHNOLOGY, INC.",21589523.3,1,3
198,"ICF INCORPORATED, L.L.C.",21402632.44,1,3
199,METAS SOLUTIONS LLC,21041184.18,1,3
200,"CALCA SOLUTIONS, LLC",20996144.92,1,3
201,YORK-BRAWLEY II JV LLC,20715302.0,1,3
202,"DMAERO, LLC",20545361.01,1,3
203,DIGITAL MANAGEMENT LLC,20075775.16,1,3
204,STATE OF GEORGIA,7311112938.68,5,0
205,"GEORGIA HAP ADMINISTRATORS, INC.",375866983.0,2,3
206,GEORGIA EMERGENCY MANAGEMENT AND HOMELAND SECURITY AGENCY,3455455036.63,16,0
207,GEORGIA STATE UNIVERSITY,341888946.41999996,3,3
208,KENNESAW STATE UNIVERSITY,339114527.91,4,3
209,"THE HOUSING AUTHORITY OF THE CITY OF ATLANTA, GEORGIA",309707144.0,7,4
210,COUNTY OF GWINNETT,107541371.4,3,3
211,GEORGIA SOUTHERN UNIVERSITY,188836837.76000002,4,3
212,"SOUTH UNIVERSITY SAVANNAH, LLC",256310151.5,6,3
213,MULTIPLE RECIPIENTS,30091300796.059998,675,1
214,GEORGIA HOUSING & FINANCE AUTHORITY,94955625.0,3,3
215,GEORGIA GWINNETT COLLEGE,103070585.79,3,3
216,UNIVERSITY OF GEORGIA,111325109.0,3,3
217,UNIVERSITY OF NORTH GEORGIA,64083161.22,2,3
218,ALBANY STATE UNIVERSITY,78152304.0,2,3
219,CITY OF ATLANTA,28701198.79,1,3
220,GWINNETT TECHNICAL COLLEGE,27728854.35,1,3
221,VALDOSTA STATE UNIVERSITY,73841123.5,3,3
222,UNIVERSITY OF WEST GEORGIA,44888382.91,2,3
223,CHATTAHOOCHEE TECHNICAL COLLEGE,23675363.7,1,3
224,GEORGIA INSTITUTE OF TECHNOLOGY,23282941.0,1,3
225,TECHNICAL COLLEGE SYSTEM OF GEORGIA,167702340.46,5,3
226,"THE SAVANNAH COLLEGE OF ART AND DESIGN, INC.",21380819.55,1,3
227,MIDDLE GEORGIA STATE UNIVERSITY,20742286.01,1,3
228,COLUMBUS STATE UNIVERSITY,20106399.49,1,3
229,GRAFTON BIOSCIENCES INC.,20000784.0,1,3
230,GEORGIA DEPT OF EDUCATION,6847728189.96,27,0
231,"COMMUNITY AFFAIRS, GEORGIA DEPARTMENT OF",517353860.4,7,4
232,GEORGIA DEPARTMENT OF TRANSPORTATION,2654627448.3500004,48,0
233,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,629407042.0,8,4
234,"VETERANS SERVICE, GEORGIA DEPARTMENT OF",251386371.8,2,3
235,"HUMAN SERVICES, GEORGIA DEPARTMENT OF",109290258.0,2,3
236,GEORGIA DEPARTMENT OF LABOR,384992523.0,6,4
237,CRIMINAL JUSTICE COORDINATING COUNCIL,93853926.63,2,3
238,DEPARTMENT OF NATURAL RESOURCES,71111376.0,2,3
239,SECRETARY OF STATE GEORGIA,26837123.0,1,3
240,GEORGIA REGIONAL TRANSPORTATION AUTHORITY,25731752.0,1,3
241,DEPARTMENT OF INSURANCE OF THE STATE OF GEORGIA,2554144049.0,1,4
242,COUNTY OF FULTON,244585347.44,2,3
243,"SYENSQO SPECIALTY POLYMERS USA, LLC",178218568.0,1,3
244,"NINTH DISTRICT OPPORTUNITY, INC.",124500400.0,1,3
245,"SOUTHWEST GEORGIA COMMUNITY ACTION COUNCIL, INC.",144789894.9,2,3
246,EARLY CHILDHOOD DEVELOPMENT CO LLC,102025451.8,1,3
247,GREEN POWER EMC,99253649.0,1,3
248,GEORGIA TRANSMISSION CORPORATION (AN ELECTRIC MEMBERSHIP CORPORATION),97910605.0,1,3
249,BLUE BIRD BODY COMPANY,79728146.0,1,3
250,"EASTER SEALS NORTH GEORGIA, INC.",155568140.01999998,3,3
251,"CSRA ECONOMIC OPPORTUNITY AUTHORITY, INC.",67388998.4,1,3
252,THE SHELTERING ARMS,65765279.0,1,3
253,"ACTION PACT, INC.",61663070.21,1,3
254,"SOUTHSIDE MEDICAL CENTER, INC.",59014988.0,1,3
255,"CARECONNECT HEALTH, INC.",56736624.0,1,3
256,"MEDLINK GEORGIA, INC.",52973370.0,1,3
257,GEORGIA PORTS AUTHORITY,48763746.0,1,3
258,"COMMUNITY HEALTH CARE SYSTEMS, INC.",48345587.33,1,3
259,"COASTAL GEORGIA AREA COMMUNITY ACTION AUTHORITY, INC.",48126662.9,1,3
260,"ENRICHMENT SERVICES PROGRAM, INC.",111438679.03999999,3,3
261,"ARTHUR M. BLANK HOSPITAL, INC.",45550651.0,1,3
262,EAST GA HEALTHCARE CENTER,44682206.0,1,3
263,"SAINT JOSEPH'S MERCY CARE SERVICES, INC.",43060842.0,1,3
264,"ECONOMIC OPPORTUNITY FOR SAVANNAH-CHATHAM COUNTY AREA, INC.",42957216.09,1,3
265,"MACON-BIBB COUNTY ECONOMIC OPPORTUNITY COUNCIL, INC.",42737592.0,1,3
266,"THE MCINTOSH TRAIL EARLY CHILDHOOD DEVELOPMENT COUNCIL, INC.",41716830.03,1,3
267,MIDDLE GA COMMUNITY ACTION,41058806.0,1,3
268,COASTAL PLAIN AREA ECONOMIC OPPORTUNITY AUTHORITY INC,38372572.91,1,3
269,"ALBANY AREA PRIMARY HEALTH CARE, INC.",36645252.32,1,3
270,"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE",67807011.72,2,3
271,DEPARTMENT OF COMMUNITY HEALTH GEORGIA,33881748.9,1,3
272,"NEIGHBORHOOD IMPROVEMENT PROJECT, INC.",32170621.2,1,3
273,"PRIMARY HEALTH CARE CENTER OF DADE, INC.",29655263.0,1,3
274,FORT VALLEY STATE UNIVERSITY,52984450.92,2,3
275,CURTIS V COOPER PRIMARY HEALTH CARE INC,28914977.0,1,3
276,"CLARK ATLANTA UNIVERSITY, INC.",50703436.18,2,3
277,PALMETTO HEALTH COUNCIL INC,28050883.17,1,3
278,BOYS & GIRLS CLUBS OF AMERICA,137175279.8,5,3
279,GEORGIA HIGHLANDS MEDICAL SERVICE INC,27493882.0,1,3
280,MEDCURA HEALTH INC,27372497.04,1,3
281,"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC",50171288.0,2,3
282,"PRIMARY CARE OF SOUTHWEST GEORGIA, INC.",26383589.0,1,3
283,"COMMUNITY ACTION FOR IMPROVEMENT, INC.",26332150.0,1,3
284,GEORGIA MOUNTAINS HEALTH SERVICES INC,25079313.0,1,3
285,SAVANNAH STATE UNIVERSITY,23713007.0,1,3
286,SPELMAN COLLEGE,23192608.0,1,3
287,VALLEY HEALTHCARE SYSTEM INC,22881934.0,1,3
288,"FIRST CHOICE PRIMARY CARE, INC.",21977156.0,1,3
289,CLARKE COUNTY SCHOOL DISTRICT,42740084.269999996,2,3
290,MCKINNEY MEDICAL CENTER INC,21788339.0,1,3
291,"HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC. (""H.E.A.L.,INC."")",20295351.0,1,3
292,COUNTY OF CHATHAM,20248531.0,1,3
293,"OCONEE VALLEY HEALTHCARE, INC.",20175664.0,1,3
294,"J.C. LEWIS PRIMARY HEALTHCARE CENTER, INC.",20092573.0,1,3
295,"CHEROKEE NATION MANAGEMENT & CONSULTING, L.L.C..",23538431.96,1,3
