award_id_fain,disaster_emergency_fund_codes,obligated_amount_from_COVID-19_supplementals,obligated_amount_from_IIJA_supplemental,total_obligated_amount,awarding_agency_name,awarding_sub_agency_name,recipient_name,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_county_name,county_size,county_size_ratio,assistance_type_description,prime_award_base_transaction_description,business_types_description,usaspending_permalink
2505GA5MAP,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,12849962570,Department of Health and Human Services,Centers for Medicare and Medicaid Services,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,2 PEACHTREE ST NW,,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),MEDICAID ENTITLEMENT FOR 15 - FY 2026 - T19,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2505GA5MAP_075/
2405GA5MAP,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,9894475347,Department of Health and Human Services,Centers for Medicare and Medicaid Services,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,2 PEACHTREE ST NW,,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),MEDICAID ENTITLEMENT FOR 15 - FY 2025 - T19,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2405GA5MAP_075/
2110GACSC6,V: Non-emergency P.L. 117-2,967844677,,967844677,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF EARLY CARE & LEARNING GEORGIA,2 MLK JR DR SE 754 E TOWER,"SUITE 754, EAST TOWER",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),CSC6-2021,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2110GACSC6_075/
2110GACDC6,V: Non-emergency P.L. 117-2,605401332,,605401332,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF EARLY CARE & LEARNING GEORGIA,2 MLK JR DR SE 754 E TOWER,"SUITE 754, EAST TOWER",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),CDC6-2021,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2110GACDC6_075/
2405GA5021,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,546638246,Department of Health and Human Services,Centers for Medicare and Medicaid Services,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,2 PEACHTREE ST NW,,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),MEDICAID ENTITLEMENT FOR 15 - FY 2025 - T21,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2405GA5021_075/
2505GA5ADM,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,509037183,Department of Health and Human Services,Centers for Medicare and Medicaid Services,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,2 PEACHTREE ST NW,,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),MEDICAID ENTITLEMENT FOR 15 - FY 2026 - T19,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2505GA5ADM_075/
2405GA5ADM,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,452130636,Department of Health and Human Services,Centers for Medicare and Medicaid Services,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,2 PEACHTREE ST NW,,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),MEDICAID ENTITLEMENT FOR 15 - FY 2025 - T19,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2405GA5ADM_075/
2505GA5021,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,450790596,Department of Health and Human Services,Centers for Medicare and Medicaid Services,GEORGIA DEPARTMENT OF COMMUNITY HEALTH,2 PEACHTREE ST NW,,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),MEDICAID ENTITLEMENT FOR 15 - FY 2025 - T21,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2505GA5021_075/
2101GATANF,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression;V: Non-emergency P.L. 117-2,24544311.56,,354194602.6,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF HUMAN SERVICES,47 TRINITY AVE SW,CHILD SUPPORT SERVICES,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),2021 TANF,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2101GATANF_075/
2510GACCDD,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,333930904,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF EARLY CARE & LEARNING GEORGIA,2 MLK JR DR SE 754 E TOWER,"SUITE 754, EAST TOWER",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),CCDD-2025 - CHILD CARE AND DEVELOPMENT BLOCK GRANT DISCRETIONARY,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2510GACCDD_075/
2501GATANF,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,329650291,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF HUMAN SERVICES,47 TRINITY AVE SW,CHILD SUPPORT SERVICES,ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),2025 TANF,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2501GATANF_075/
2310GACCDD,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,321302450,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF EARLY CARE & LEARNING GEORGIA,2 MLK JR DR SE 754 E TOWER,"SUITE 754, EAST TOWER",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),CCDD-2023,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2310GACCDD_075/
2210GACCDD,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,250206388,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF EARLY CARE & LEARNING GEORGIA,2 MLK JR DR SE 754 E TOWER,"SUITE 754, EAST TOWER",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),CCDD-2022,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2210GACCDD_075/
2501GAFOST,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,105938284,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF HUMAN SERVICES,47 TRINITY AVE SW,"2 PEACHTREE ST, NW",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),FOSTER-2025 - FOSTER CARE,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2501GAFOST_075/
2401GAFOST,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,,89689619,Department of Health and Human Services,Administration for Children and Families,DEPARTMENT OF HUMAN SERVICES,47 TRINITY AVE SW,"2 PEACHTREE ST, NW",ATLANTA,FULTON,1066710,>950000,BLOCK GRANT (A),FOSTER-2024,STATE GOVERNMENT,https://www.usaspending.gov/award/ASST_NON_2401GAFOST_075/
